conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2313130775,1101l338149,1100l6230,19:45:03,2025-08-27,"2025-08-27 19:45:03",,,,USD,,,APPORKSA80034007701351,"Level Shoes Global",digizag11,,pending,0,0,,,,0,new,1110l21370390,000227367273,SHOES,0,0,pending,,,SA,"2025-08-28 01:11:00",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,
1110l55599517,1101l338149,1100l6230,17:50:13,2025-08-27,"2025-08-27 17:50:13",,,,USD,,,APPORKWT80036007578866,"Level Shoes Global",digizag11,,pending,0,30.4705,,,,304.7052,new,1101l1040843654,495426469574,SHOES,304.7052,30.4705,pending,,,KW,"2025-08-28 01:10:47",false,DH40,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAROSSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,
1011l2378762515,1101l338149,1100l6230,17:44:38,2025-08-27,"2025-08-27 17:44:38",,,,USD,,,APPENUAE80031007415660,"Level Shoes Global",digizag11,,pending,0,9.8026,,,,196.0517,existing,1101l1040843655,052427304794,SHOES,196.0517,9.8026,pending,,,AE,"2025-08-28 01:10:47",false,DG44,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2313130736,1101l338149,1100l6230,17:24:42,2025-08-27,"2025-08-27 17:24:42",,,,USD,,,APPENKSA80033007660039,"Level Shoes Global",digizag11,,pending,0,19.5553,,,,391.1042,existing,1100l1038574354,052427305840,SHOES,81.3724,4.0686,pending,,,SA,"2025-08-28 01:10:47",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2313130736,1101l338149,1100l6230,17:24:42,2025-08-27,"2025-08-27 17:24:42",,,,USD,,,APPENKSA80033007660039,"Level Shoes Global",digizag11,,pending,0,19.5553,,,,391.1042,existing,1100l1038574355,423727377496,SHOES,129.8271,6.4914,pending,,,SA,"2025-08-28 01:10:47",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOY,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2313130736,1101l338149,1100l6230,17:24:42,2025-08-27,"2025-08-27 17:24:42",,,,USD,,,APPENKSA80033007660039,"Level Shoes Global",digizag11,,pending,0,19.5553,,,,391.1042,existing,1100l1038574356,057927342877,SHOES,50.0776,2.5039,pending,,,SA,"2025-08-28 01:10:47",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2313130736,1101l338149,1100l6230,17:24:42,2025-08-27,"2025-08-27 17:24:42",,,,USD,,,APPENKSA80033007660039,"Level Shoes Global",digizag11,,pending,0,19.5553,,,,391.1042,existing,1100l1038574357,423727377403,SHOES,129.8271,6.4914,pending,,,SA,"2025-08-28 01:10:47",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOY,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1011l2378762412,1101l338149,1100l6230,17:21:35,2025-08-27,"2025-08-27 17:21:35",,,,USD,,,APPORKSA80034007588527,"Level Shoes Global",digizag11,,pending,0,14.501,,,,290.0204,existing,1110l21370353,031627251971,BAGS,290.0204,14.501,pending,,,SA,"2025-08-28 01:10:47",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TORY BURCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,TOTES,,,
1110l55599483,1101l338149,1100l6230,17:19:29,2025-08-27,"2025-08-27 17:19:29",,,,USD,,,APPENKSA80033007623243,"Level Shoes Global",digizag11,,pending,0,11.3711,,,,227.4227,existing,1110l21370355,095927272154,SHOES,62.5922,3.1296,pending,,,SA,"2025-08-28 01:10:47",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l55599483,1101l338149,1100l6230,17:19:29,2025-08-27,"2025-08-27 17:19:29",,,,USD,,,APPENKSA80033007623243,"Level Shoes Global",digizag11,,pending,0,11.3711,,,,227.4227,existing,1110l21370356,048427261705,SHOES,58.4207,2.921,pending,,,SA,"2025-08-28 01:10:47",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
