Date_ordered,Country,type,name,follower_code,# Orders,# Orders New Customers,# Orders Repeat Customers,Revenue,New Cust Revenue,Repeat Cust Revenue
"Sep 1, 2025",UAE,Affiliates,DigiZag,mzzr7,3,0,3,394.6512261580381,null,394.6512261580381
"Sep 1, 2025",KSA,Affiliates,DigiZag,zz88,2,0,2,127.05994550408721,null,127.05994550408721
"Sep 1, 2025",RoGCC,Affiliates,DigiZag,zm66,1,0,1,62.85013623978202,null,62.85013623978202
"Sep 1, 2025",UAE,Affiliates,DigiZag,mzzgf,3,1,2,309.66757493188015,131.8283378746594,177.8392370572207
"Sep 1, 2025",KSA,Affiliates,DigiZag,dd5,1,0,1,23.474114441416894,null,23.474114441416894
"Sep 1, 2025",KSA,Affiliates,DigiZag,zm66,3,0,3,338.5177111716622,null,338.5177111716622
"Sep 1, 2025",KSA,Affiliates,DigiZag,zmpd,1,1,0,77.10081743869209,77.10081743869209,null
"Sep 1, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,203.6485013623978,40.17983651226158,163.46866485013624
"Sep 1, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,98.22343324250681,null,98.22343324250681
"Sep 1, 2025",KSA,Affiliates,DigiZag,zmm86,6,1,5,635.2261580381471,151.35694822888283,483.8692098092643
"Sep 2, 2025",RoGCC,Affiliates,DigiZag,zm66,1,1,0,84.60762942779292,84.60762942779292,null
"Sep 2, 2025",UAE,Affiliates,DigiZag,zm66,3,1,2,228.02452316076295,58.15531335149864,169.8692098092643
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz45,1,0,1,20.55040871934605,null,20.55040871934605
"Sep 2, 2025",KSA,Affiliates,DigiZag,zmpd,1,0,1,161.40871934604905,null,161.40871934604905
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz88,2,0,2,671.5885558583107,null,671.5885558583107
"Sep 2, 2025",KSA,Affiliates,DigiZag,zm66,3,0,3,132.5177111716621,null,132.5177111716621
"Sep 2, 2025",KSA,Affiliates,DigiZag,mzzgf,1,0,1,18.994550408719345,null,18.994550408719345
"Sep 2, 2025",KSA,Affiliates,DigiZag,zm8f,1,0,1,63.52861035422344,null,63.52861035422344
"Sep 2, 2025",UAE,Affiliates,DigiZag,mzzgf,1,0,1,28.727520435967303,null,28.727520435967303
"Sep 2, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,154.58038147138964,104.3133514986376,50.26702997275204
"Sep 2, 2025",KSA,Affiliates,DigiZag,zmm86,2,0,2,103.89645776566758,null,103.89645776566758
"Sep 3, 2025",KSA,Affiliates,DigiZag,zmpd,1,0,1,101.16893732970028,null,101.16893732970028
"Sep 3, 2025",KSA,Affiliates,DigiZag,zmm86,5,2,3,534.9809264305177,391.0708446866485,143.91008174386923
"Sep 3, 2025",UAE,Affiliates,DigiZag,mzzgf,1,1,0,71.31062670299727,71.31062670299727,null
"Sep 3, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,99.85558583106268,null,99.85558583106268
"Sep 3, 2025",KSA,Affiliates,DigiZag,zm66,2,1,1,103.17711171662125,31.302452316076295,71.87465940054496
"Sep 3, 2025",KSA,Affiliates,DigiZag,dd5,1,1,0,39.28882833787466,39.28882833787466,null
"Sep 3, 2025",KSA,Affiliates,DigiZag,zz88,1,0,1,272.5286103542234,null,272.5286103542234
"Sep 3, 2025",KSA,Affiliates,DigiZag,dww7,1,1,0,79.06811989100818,79.06811989100818,null
"Sep 3, 2025",KSA,Affiliates,DigiZag,mzzr7,2,1,1,286.6130790190736,228.93460490463218,57.67847411444142
"Sep 3, 2025",KSA,Affiliates,DigiZag,zz50,2,0,2,116.25068119891009,null,116.25068119891009
"Sep 3, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,102.3623978201635,null,102.3623978201635
"Sep 3, 2025",UAE,Affiliates,DigiZag,zz88,1,0,1,31.06267029972752,null,31.06267029972752
"Sep 4, 2025",UAE,Affiliates,DigiZag,zz88,1,1,0,126.6376021798365,126.6376021798365,null
"Sep 4, 2025",KSA,Affiliates,DigiZag,zmm86,1,0,1,46.5858310626703,null,46.5858310626703
"Sep 4, 2025",UAE,Affiliates,DigiZag,zm66,2,0,2,72.16621253405994,null,72.16621253405994
"Sep 4, 2025",KSA,Affiliates,DigiZag,zm66,1,0,1,115.40326975476839,null,115.40326975476839
"Sep 4, 2025",KSA,Affiliates,DigiZag,dww7,1,1,0,647.3760217983651,647.3760217983651,null
"Sep 4, 2025",KSA,Affiliates,DigiZag,zz50,3,2,1,467.6566757493188,442.50953678474116,25.14713896457766
"Sep 4, 2025",KSA,Affiliates,DigiZag,zmpd,1,1,0,60.60490463215259,60.60490463215259,null
"Sep 4, 2025",KSA,Affiliates,DigiZag,zz96,1,0,1,76.69754768392372,null,76.69754768392372
"Sep 4, 2025",KSA,Affiliates,DigiZag,zz88,1,1,0,544.5095367847412,544.5095367847412,null
"Sep 4, 2025",KSA,Affiliates,DigiZag,zz17,1,1,0,136.99727520435968,136.99727520435968,null
"Sep 4, 2025",UAE,Affiliates,DigiZag,mzzr7,2,0,2,183.54768392370573,null,183.54768392370573
"Sep 5, 2025",KSA,Affiliates,DigiZag,mzzgf,1,0,1,82.75476839237056,null,82.75476839237056
"Sep 5, 2025",KSA,Affiliates,DigiZag,zz17,1,1,0,16.57493188010899,16.57493188010899,null
"Sep 5, 2025",KSA,Affiliates,DigiZag,zz50,4,2,2,694.1008174386922,232.25613079019075,461.84468664850135
"Sep 5, 2025",KSA,Affiliates,DigiZag,zmjc,1,1,0,40.332425068119896,40.332425068119896,null
"Sep 5, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,71,null,71
"Sep 5, 2025",KSA,Affiliates,DigiZag,zm66,2,0,2,201.94277929155314,null,201.94277929155314
"Sep 5, 2025",UAE,Affiliates,DigiZag,zz50,2,0,2,410.49046321525884,null,410.49046321525884
"Sep 5, 2025",UAE,Affiliates,DigiZag,mzzgf,1,1,0,23.588555858310624,23.588555858310624,null
"Sep 5, 2025",KSA,Affiliates,DigiZag,dww7,1,0,1,151.858310626703,null,151.858310626703
"Sep 5, 2025",RoGCC,Affiliates,DigiZag,zm66,1,1,0,209.62125340599454,209.62125340599454,null
"Sep 5, 2025",KSA,Affiliates,DigiZag,zz88,3,1,2,370.2016348773842,265.0190735694823,105.18256130790192
"Sep 5, 2025",KSA,Affiliates,DigiZag,zmm86,7,2,5,904.0544959128065,299.9782016348774,604.0762942779292
