conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2312641113,1101l338149,1100l6230,20:43:21,2025-08-25,"2025-08-25 20:43:21",,,,USD,,,APPORKSA80034007689338,"Level Shoes Global",digizag11,,pending,0,34.2299,,,,684.5964,existing,1100l1038417445,3617015037784,SHOES,544.8033,27.2402,pending,,,US,"2025-08-27 01:08:15",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIVENCHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2312641113,1101l338149,1100l6230,20:43:21,2025-08-25,"2025-08-25 20:43:21",,,,USD,,,APPORKSA80034007689338,"Level Shoes Global",digizag11,,pending,0,34.2299,,,,684.5964,existing,1100l1038417446,052427304552,SHOES,139.7931,6.9897,pending,,,US,"2025-08-27 01:08:15",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1011l2378350418,1101l338149,1100l6230,20:42:59,2025-08-25,"2025-08-25 20:42:59",,,,USD,,,APPORKSA80034007685095,"Level Shoes Global",digizag11,,pending,0,11.0581,,,,110.5813,new,1101l1040686102,095927283459,SHOES,110.5813,11.0581,pending,,,US,"2025-08-27 01:08:15",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2312287554,1101l338149,1100l6230,19:37:03,2025-08-25,"2025-08-25 19:37:03",,,,USD,,,APPENKWT80035007523726,"Level Shoes Global",digizag11,,pending,0,34.2614,,,,342.614,new,1101l1040579839,080827349477,SHOES,342.614,34.2614,pending,,,US,"2025-08-26 10:48:05",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRIES VAN NOTEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2312287459,1101l338149,1100l6230,17:53:36,2025-08-25,"2025-08-25 17:53:36",,,,USD,,,APPORKSA80034007688391,"Level Shoes Global",digizag11,,pending,0,6.6768,,,,133.5357,existing,1011l1041612912,095926763050,SHOES,133.5357,6.6768,pending,,,US,"2025-08-26 10:47:42",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l54730059,1101l338149,1100l6230,11:05:22,2025-08-25,"2025-08-25 11:05:22",,,,USD,,,APPENUAE80031007628585,"Level Shoes Global",digizag11,,pending,0,16.6644,,,,333.288,existing,1100l1038310588,576827078072,BAGS,333.288,16.6644,pending,,,US,"2025-08-26 10:46:57",false,DG44,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"SHOULDER BAGS",,,
1110l54729983,1101l338149,1100l6230,10:21:58,2025-08-25,"2025-08-25 10:21:58",,,,USD,,,APPENKSA80033007683887,"Level Shoes Global",digizag11,,pending,0,6.0508,,,,121.0157,existing,1011l1041612828,052426322940,SHOES,121.0157,6.0508,pending,,,US,"2025-08-26 10:46:57",false,KYT,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2311640057,1101l338149,1100l6230,06:19:20,2025-08-25,"2025-08-25 06:19:20",,,,USD,,,APPENKSA80033007548315,"Level Shoes Global",digizag11,,pending,0,56.9607,,,,569.6065,new,1100l1038144651,081525647261,SHOES,569.6065,56.9607,pending,,,SA,"2025-08-25 09:08:17",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOLDEN GOOSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l54210318,1101l338149,1100l6230,06:16:59,2025-08-25,"2025-08-25 06:16:59",,,,USD,,,APPENKSA80033007675821,"Level Shoes Global",digizag11,,pending,0,8.7631,,,,175.262,existing,1110l20937565,330225169330,SHOES,64.6807,3.234,pending,,,SA,"2025-08-25 09:08:17",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRKENSTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,SANDALS,,,
1110l54210318,1101l338149,1100l6230,06:16:59,2025-08-25,"2025-08-25 06:16:59",,,,USD,,,APPENKSA80033007675821,"Level Shoes Global",digizag11,,pending,0,8.7631,,,,175.262,existing,1110l20937566,000227365631,SHOES,110.5813,5.5291,pending,,,SA,"2025-08-25 09:08:17",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
