conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2310879368,1101l338149,1011l543,00:58:00,2025-08-24,"2025-08-24 00:58:00",00:54:09,2025-08-24,"2025-08-24 00:54:09",USD,12941,,C2CYGU,"FARFETCH Middle East",digizag11,https://the51.gotrackier.com/,pending,231,17.75,,,,355,existing,1011l1041275717,31837941,"Men;Clothing;Sweaters & Knitwear;Hoodies",355,17.75,pending,,,US,"2025-08-24 00:59:01",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1100lBrp5LLk,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,15.00,Desktop,,,,,0.0,,,,,,,,AMEX,,,,355.0,0.0,,,,,,,,,,,,,,,6,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.63,Man,355.0,,,,HELLSTAR,,,,,,,,,,"Records Tour flame-print hoodie",,0,S,,,,
1110l53624695,1101l338149,1011l543,00:57:00,2025-08-24,"2025-08-24 00:57:00",00:54:14,2025-08-24,"2025-08-24 00:54:14",USD,12941,,6L6HVM,"FARFETCH Middle East",digizag11,https://the51.gotrackier.com/,pending,166,6.8,,,,136,existing,1011l1041275673,31174468,Men;Shoes;Trainers;Low-Tops,136,6.8,pending,,,US,"2025-08-24 00:58:05",false,,Desktop,Web,CPA,Affiliate,Standard,1110lnTt85C,1,Partnerize,,,,FFACCESS-Bronze,,,,,,web,,0.0,10.00,Desktop,,,,,0.0,,,,,,,,AMEX,,,,136.0,0.0,,,,,,,,,,,,,,,10,web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23,Man,136.0,,,,NIKE,,,,,,,,,,"Air Force 1 Low '07 LV8 ""Black Desert Ochre"" sneakers",,0,8.5,,,,
1011l2376881920,1101l338149,1011l543,15:23:00,2025-08-23,"2025-08-23 15:23:00",14:01:35,2025-08-14,"2025-08-14 14:01:35",USD,12941,,AC5QT7,"FARFETCH Middle East",digizag11,https://the51.gotrackier.com/,pending,782485,11.45,,,,229,existing,1011l1041221029,20473325,Men;Shoes;Trainers;Low-Tops,113,5.65,pending,,,US,"2025-08-23 15:23:20",false,,Mobile,"Mobile Web",CPA,Mobile,Standard,1101lBBavq5g,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,0.00,Mobile,,,,,0.0,,,,,,,,PayPal,,,,229.0,0.0,,,,,,,,,,,,,,,10,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.28,Woman,113.0,,,,ADIDAS,,,,,,,,,,"Samba OG ""White/Red"" sneakers",,0,6.5,,,,
1011l2376881920,1101l338149,1011l543,15:23:00,2025-08-23,"2025-08-23 15:23:00",14:01:35,2025-08-14,"2025-08-14 14:01:35",USD,12941,,AC5QT7,"FARFETCH Middle East",digizag11,https://the51.gotrackier.com/,pending,782485,11.45,,,,229,existing,1011l1041221030,22103011,Women;Shoes;Trainers;Low-Tops,116,5.8,pending,,,US,"2025-08-23 15:23:20",false,,Mobile,"Mobile Web",CPA,Mobile,Standard,1101lBBavq5g,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,0.00,Mobile,,,,,0.0,,,,,,,,PayPal,,,,229.0,0.0,,,,,,,,,,,,,,,10,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.49,Woman,116.0,,,,ADIDAS,,,,,,,,,,"Samba OG ""Cloud White / Core Black / Gum"" sneakers",,0,6.5,,,,
1100l2310588667,1101l338149,1011l543,11:19:00,2025-08-23,"2025-08-23 11:19:00",11:04:35,2025-08-23,"2025-08-23 11:04:35",USD,14298,,LSQMQX,"FARFETCH Middle East",digizag11,,pending,865,5.968,,,,119.36,new,1011l1041196395,23025403,Women;Shoes;Trainers;Low-Tops,119.36,5.968,pending,,,SA,"2025-08-23 11:20:01",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBrmbc4w,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.88,35.23,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,119.36,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,Woman,137.26,,,,VEJA,,,,,,,,,,"Volley panelled sneakers",,0,38,,,,
1101l2374486540,1101l338149,1011l543,20:17:00,2025-08-22,"2025-08-22 20:17:00",20:13:05,2025-08-22,"2025-08-22 20:13:05",USD,14298,,7VNHPH,"FARFETCH Middle East",digizag11,,pending,235,17.2495,,,,344.99,existing,1100l1037821678,23943221,"Women;Clothing;Dresses;Cocktail & Party Dresses",344.99,17.2495,pending,,,SA,"2025-08-22 20:17:25",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBEqYFIF,1,Partnerize,,,,FFACCESS-Silver,,,,,,m_app,,0.00,71.59,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,344.99,0.00,,,,,,,,,,,,,,,8,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.25,Woman,416.57,,,,BARUNI,,,,,,,,,,"Esme maxi dress",,1,S,,,,
1011l2376600567,1101l338149,1011l543,19:54:00,2025-08-22,"2025-08-22 19:54:00",19:52:23,2025-08-22,"2025-08-22 19:52:23",USD,12941,,DE24HB,"FARFETCH Middle East",digizag11,https://www.barakatalan.com/,pending,97,8.1115,,,,162.23,existing,1101l1040086640,30212942,"Women;Bags;Shoulder Bags",162.23,8.1115,pending,,,SA,"2025-08-22 19:54:33",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1110lnFfm9c,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,1.88,41.66,Desktop,,,,,0.00,,,,,,,,VISA,,,,162.23,0.00,,,,,,,,,,,,,,,12,m_web,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.56,Woman,186.57,,,,LONGCHAMP,,,,,,,,,,"medium Le Pliage tote bag",,0,"One Size",,,,
1100l2309788038,1101l338149,1011l543,21:04:00,2025-08-21,"2025-08-21 21:04:00",20:26:32,2025-08-21,"2025-08-21 20:26:32",USD,12941,,L3HZAX,"FARFETCH Middle East",digizag11,,pending,2248,16.55,,,,331,existing,1110l20472229,23373804,"Women;Shoes;Flip-Flops & Slides",331,16.55,pending,,,US,"2025-08-21 21:04:41",false,,Desktop,Web,CPA,Affiliate,Standard,1100lBr55Kgq,1,Partnerize,,,,FFACCESS-Private-Client,,,,,,web,,0.0,0.00,Desktop,,,,,0.0,,,,,,,,VISA,,,,331.0,0.0,,,,,,,,,,,,,,,9,web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.94,Woman,331.0,,,,"STELLA MCCARTNEY",,,,,,,,,,"Elyse raffia slides",,0,40,,,,
1100l2309760331,1101l338149,1011l543,19:40:00,2025-08-21,"2025-08-21 19:40:00",13:33:22,2025-08-21,"2025-08-21 13:33:22",USD,14298,,XU98CR,"FARFETCH Middle East",digizag11,,pending,21998,6.264,,,,125.28,existing,1101l1039938843,31288937,Men;Shoes;Trainers;Low-Tops,125.28,6.264,pending,,,QA,"2025-08-21 19:40:39",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBEmXUPc,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.39,30.42,Mobile,,,,,0.00,,,,,,,,APPLEPAY,,,,125.28,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33,Woman,133.73,,,,PUMA,,,,,,,,,,"Speedcat OG Formstrip sneakers",,0,7,,,,
1110l52609801,1101l338149,1011l543,19:29:00,2025-08-21,"2025-08-21 19:29:00",19:10:17,2025-08-21,"2025-08-21 19:10:17",USD,12941,,6LVDXM,"FARFETCH Middle East",digizag11,,pending,1123,14.8,,,,296,existing,1110l20459660,20770636,Women;Clothing;Tops;Hoodies,296,14.8,pending,,,US,"2025-08-21 19:29:34",false,,Desktop,Web,CPA,Affiliate,Standard,1110lnAQiCT,1,Partnerize,,,,FFACCESS-Bronze,,,,,,web,,0.0,0.00,Desktop,,,,,0.0,,,,,,,,PayPal,,,,296.0,0.0,,,,,,,,,,,,,,,6,web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.15,Woman,296.0,,,,PATOU,,,,,,,,,,"Medallion cotton hoodie",,0,L,,,,
