conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2332658468,1101l338149,1011l543,10:08:00,2025-10-10,"2025-10-10 10:08:00",10:53:09,2025-10-07,"2025-10-07 10:53:09",USD,14298,,RL592S,"FARFETCH Middle East",digizag11,,pending,256491,2.9245,,,,58.49,existing,1110l28074573,29035137,Men;Shoes;Trainers;Low-Tops,58.49,2.9245,pending,,,SA,"2025-10-10 10:09:06",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lByLZoEU,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.99,34.83,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,58.49,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.53,Woman,75.99,,,,ASICS,,,,,,,,,,"Gel-Kayano 14 ""Tiffany"" sneakers",,0,6,,,,
1011l2396953970,1101l338149,1011l543,01:59:00,2025-10-10,"2025-10-10 01:59:00",01:53:06,2025-10-10,"2025-10-10 01:53:06",USD,14298,,PTWMKJ,"FARFETCH Middle East",digizag11,,pending,354,40.155,,,,803.1,existing,1101l1047544116,29994287,Women;Shoes;Trainers;High-Tops,803.1,40.155,pending,,,SA,"2025-10-10 02:00:06",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1011lBGcx4CM,1,Partnerize,,,,FFACCESS-Gold,,,,,,m_app,,3.03,230.16,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,803.10,0.00,,,,,,,,,,,,,,,9,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.63,Woman,1015.92,,,,TOD'S,,,,,,,,,,"panelled sneakers",,0,38.5,,,,
1101l2395870448,1101l338149,1011l543,22:47:00,2025-10-09,"2025-10-09 22:47:00",13:55:40,2025-10-09,"2025-10-09 13:55:40",USD,14298,,W9UEUC,"FARFETCH Middle East",digizag11,,pending,31880,7.4295,,,,148.59,new,1101l1047532570,22000369,"Kids;Girls Clothing;Jackets;Bomber Jackets",49.16,2.458,pending,,,SA,"2025-10-09 22:47:51",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBMbm46M,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.89,50.07,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,148.59,0.00,,,,,,,,,,,,,,,7,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58,Woman,56.53,,,,"DKNY KIDS",,,,,,,,,,"logo-appliqué hooded jacket",,1,"4 yrs",,,,
1101l2395870448,1101l338149,1011l543,22:47:00,2025-10-09,"2025-10-09 22:47:00",13:55:40,2025-10-09,"2025-10-09 13:55:40",USD,14298,,W9UEUC,"FARFETCH Middle East",digizag11,,pending,31880,7.4295,,,,148.59,new,1101l1047532571,31103020,Men;Shoes;Trainers;Low-Tops,99.43,4.9715,pending,,,SA,"2025-10-09 22:47:51",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBMbm46M,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.89,50.07,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,148.59,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.99,Woman,124.79,,,,"NEW BALANCE",,,,,,,,,,"530 ""Silver Metallic"" trainers",,0,6.5,,,,
1100l2332113413,1101l338149,1011l543,10:59:00,2025-10-09,"2025-10-09 10:59:00",10:43:16,2025-10-09,"2025-10-09 10:43:16",USD,14298,,ER7HV4,"FARFETCH Middle East",digizag11,,pending,944,15.237,,,,304.74,existing,1011l1048459564,31948748,"Men;Clothing;T-Shirts & Vests;T-Shirts",304.74,15.237,pending,,,SA,"2025-10-09 10:59:57",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBz7G29n,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,2.48,80.56,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,304.74,0.00,,,,,,,,,,,,,,,12,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.77,Man,367.97,,,,OFF-WHITE,,,,,,,,,,"graphic-print T-shirt",,0,L,,,,
1101l2395429323,1101l338149,1011l543,01:15:00,2025-10-09,"2025-10-09 01:15:00",01:08:58,2025-10-09,"2025-10-09 01:08:58",USD,14298,,4NVXDG,"FARFETCH Middle East",digizag11,,pending,362,5.5995,,,,111.99,new,1100l1045143962,23867690,Women;Jewellery;Bracelets,111.99,5.5995,pending,,,SA,"2025-10-09 01:16:04",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBz68Guh,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,0.00,6.67,Mobile,,,,,0.00,,,,,,,,TamaraPayIn3,,,,111.99,16.80,,,,,,,,,,,,,,,9,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.34,Woman,128.79,,,,"TORY BURCH",,,,,,,,,,"Miller slider bracelet",,0,"One Size",,,,
1110l73805363,1101l338149,1011l543,04:03:00,2025-10-08,"2025-10-08 04:03:00",23:04:03,2025-10-05,"2025-10-05 23:04:03",USD,14298,,FAKBZT,"FARFETCH Middle East",digizag11,,pending,190737,6.469,,,,129.38,existing,1110l27803889,30932922,Women;Shoes;Trainers;Low-Tops,129.38,6.469,pending,,,SA,"2025-10-08 04:03:45",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lByEuwjR,1,Partnerize,,,,FFACCESS-Gold,,,,,,m_app,,1.89,36.74,Mobile,,,,,0.00,,,,,,,,MC,,,,129.38,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.28,Woman,148.79,,,,ADIDAS,,,,,,,,,,"Samba sneakers",,0,6,,,,
1100l2330785126,1101l338149,1011l543,20:43:00,2025-10-06,"2025-10-06 20:43:00",22:44:27,2025-10-01,"2025-10-01 22:44:27",USD,14298,,U2MYBY,"FARFETCH Middle East",digizag11,,pending,424713,14.3945,,,,287.89,existing,1101l1047152980,26769614,"Kids;Baby Boy Clothing;Babywear;Babygrow Sets",75.49,3.7745,pending,,,SA,"2025-10-06 20:43:59",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBLnuHcY,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.83,79.49,Mobile,,,,,36.86,,,,,,,,TamaraPayIn3,,,,287.88,0.00,,,,,,,,,,,,,,,4,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.18,Woman,96.26,,,,"BOSS KIDSWEAR",,,,,,,,,,"colour-block pajama set",,1,3,,,,
1100l2330785126,1101l338149,1011l543,20:43:00,2025-10-06,"2025-10-06 20:43:00",22:44:27,2025-10-01,"2025-10-01 22:44:27",USD,14298,,U2MYBY,"FARFETCH Middle East",digizag11,,pending,424713,14.3945,,,,287.89,existing,1101l1047152981,30083017,"Kids;Nursery;Blankets, Nests & Sleep Bags",91.36,4.568,pending,,,SA,"2025-10-06 20:43:59",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBLnuHcY,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.83,79.49,Mobile,,,,,36.86,,,,,,,,TamaraPayIn3,,,,287.88,0.00,,,,,,,,,,,,,,,8,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98,Woman,147.46,,,,"BOSS KIDSWEAR",,,,,,,,,,"logo-embroidered cotton blanket",,0,"One Size",,,,
1100l2330785126,1101l338149,1011l543,20:43:00,2025-10-06,"2025-10-06 20:43:00",22:44:27,2025-10-01,"2025-10-01 22:44:27",USD,14298,,U2MYBY,"FARFETCH Middle East",digizag11,,pending,424713,14.3945,,,,287.89,existing,1101l1047152982,24219729,"Kids;Girls Clothing;Tops;Hoods & Sweatshirts",64.23,3.2115,pending,,,SA,"2025-10-06 20:43:59",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBLnuHcY,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.83,79.49,Mobile,,,,,36.86,,,,,,,,TamaraPayIn3,,,,287.88,0.00,,,,,,,,,,,,,,,7,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79,Woman,73.86,,,,"MARC JACOBS KIDS",,,,,,,,,,"Branded sweatshirt",,1,8,,,,
