conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2324651606,1101l338149,1100l6230,17:57:42,2025-09-22,"2025-09-22 17:57:42",,,,"AED (from USD)",,,APPENUAE80031007810079_,"Level Shoes Global",digizag11,,pending,0,20.5686,,,,411.374,existing,1110l25507414,082527066710,SHOES,411.374,20.5686,pending,,,AE,"2025-09-22 19:20:24",false,DG44,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l67010762,1101l338149,1100l6230,17:39:27,2025-09-22,"2025-09-22 17:39:27",,,,"AED (from USD)",,,APPORKSA80034007838527_,"Level Shoes Global",digizag11,,pending,0,24.5066,,,,490.1333,existing,1101l1045008011,052426054010,SHOES,490.1333,24.5066,pending,,,SA,"2025-09-22 20:20:10",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2324671180,1101l338149,1100l6230,17:35:26,2025-09-22,"2025-09-22 17:35:26",,,,"AED (from USD)",,,APPORKSA80034007810118_,"Level Shoes Global",digizag11,,pending,0,25.6554,,,,513.1103,existing,1110l25514959,082526969062,SHOES,513.1103,25.6554,pending,,,SA,"2025-09-22 20:20:10",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1011l2389226791,1101l338149,1100l6230,17:25:39,2025-09-22,"2025-09-22 17:25:39",,,,"AED (from USD)",,,APPORKSA80034007810756_,"Level Shoes Global",digizag11,,pending,0,25.6554,,,,513.1103,existing,1110l25507385,056027330613,SHOES,513.1103,25.6554,pending,,,SA,"2025-09-22 19:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,
1110l66997941,1101l338149,1100l6230,17:08:37,2025-09-22,"2025-09-22 17:08:37",,,,"AED (from USD)",,,APPENKSA80033007489007_,"Level Shoes Global",digizag11,,pending,0,13.0194,,,,260.3847,existing,1101l1045000648,000227122235,SHOES,137.8513,6.8925,pending,,,SA,"2025-09-22 19:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOY,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l66997941,1101l338149,1100l6230,17:08:37,2025-09-22,"2025-09-22 17:08:37",,,,"AED (from USD)",,,APPENKSA80033007489007_,"Level Shoes Global",digizag11,,pending,0,13.0194,,,,260.3847,existing,1101l1045000649,000227122249,SHOES,122.5333,6.1268,pending,,,SA,"2025-09-22 19:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2324651463,1101l338149,1100l6230,16:16:09,2025-09-22,"2025-09-22 16:16:09",,,,"AED (from USD)",,,APPORKSA80034007839451_,"Level Shoes Global",digizag11,,pending,0,78.8794,,,,788.7924,new,1110l25507386,095927064057,SHOES,382.9077,38.291,pending,,,SA,"2025-09-22 19:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2324651463,1101l338149,1100l6230,16:16:09,2025-09-22,"2025-09-22 16:16:09",,,,"AED (from USD)",,,APPORKSA80034007839451_,"Level Shoes Global",digizag11,,pending,0,78.8794,,,,788.7924,new,1110l25507387,095927283616,SHOES,405.8847,40.5885,pending,,,SA,"2025-09-22 19:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1011l2389186550,1101l338149,1100l6230,15:02:21,2025-09-22,"2025-09-22 15:02:21",,,,"AED (from USD)",,,APPENKSA80033007828742_,"Level Shoes Global",digizag11,,pending,0,66.628,,,,666.2793,new,1100l1042717527,095927271704,SHOES,666.2793,66.628,pending,,,SA,"2025-09-22 17:20:13",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l66895337,1101l338149,1100l6230,12:46:27,2025-09-22,"2025-09-22 12:46:27",,,,"AED (from USD)",,,APPORKSA80034006875493_,"Level Shoes Global",digizag11,,pending,0,42.8919,,,,428.9201,new,1011l1045991728,082527204364,SHOES,428.9201,42.8919,pending,,,SA,"2025-09-22 15:20:10",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
