conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2323681621,1101l338149,1100l6230,23:08:27,2025-09-20,"2025-09-20 23:08:27",,,,"AED (from USD)",,,APPORKSA80034007830521_,"Level Shoes Global",digizag11,,pending,0,6.1276,,,,122.5499,existing,1100l1042469960,000227122258,SHOES,122.5499,6.1276,pending,,,SA,"2025-09-21 01:20:18",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l66228512,1101l338149,1100l6230,21:11:40,2025-09-20,"2025-09-20 21:11:40",,,,"AED (from USD)",,,APPORKSA80034007830240_,"Level Shoes Global",digizag11,,pending,0,35.6166,,,,712.3299,existing,1101l1044735935,095927272004,SHOES,712.3299,35.6166,pending,,,SA,"2025-09-21 01:20:18",false,NGS,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1011l2388513059,1101l338149,1100l6230,21:01:47,2025-09-20,"2025-09-20 21:01:47",,,,"AED (from USD)",,,APPORKSA80034007830222_,"Level Shoes Global",digizag11,,pending,0,22.212,,,,444.2399,existing,1100l1042469949,057927343306,SHOES,444.2399,22.212,pending,,,SA,"2025-09-21 01:20:06",false,DH40,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2323681600,1101l338149,1100l6230,20:24:51,2025-09-20,"2025-09-20 20:24:51",,,,"AED (from USD)",,,APPORKSA80034007742344_,"Level Shoes Global",digizag11,,pending,0,39.0629,,,,390.6299,new,1110l25242621,543427432258,SHOES,390.6299,39.0629,pending,,,SA,"2025-09-21 01:20:06",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STEVE MADDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,PUMPS,,,
1101l2388447524,1101l338149,1100l6230,19:33:57,2025-09-20,"2025-09-20 19:33:57",,,,"AED (from USD)",,,APPORKSA80034007825388_,"Level Shoes Global",digizag11,,pending,0,24.1269,,,,482.5401,existing,1100l1042458134,052426748494,SHOES,482.5401,24.1269,pending,,,SA,"2025-09-20 22:20:05",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1101l2388420975,1101l338149,1100l6230,18:43:10,2025-09-20,"2025-09-20 18:43:10",,,,"AED (from USD)",,,APPENUAE80031007737266_,"Level Shoes Global",digizag11,,pending,0,128.5709,,,,1285.7099,new,1011l1045743632,557327064459,SHOES,857.1398,85.7139,pending,,,AE,"2025-09-20 20:20:17",false,DH33,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.H.BASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,
1101l2388420975,1101l338149,1100l6230,18:43:10,2025-09-20,"2025-09-20 18:43:10",,,,"AED (from USD)",,,APPENUAE80031007737266_,"Level Shoes Global",digizag11,,pending,0,128.5709,,,,1285.7099,new,1011l1045743633,330227029539,SHOES,257.14,25.7141,pending,,,AE,"2025-09-20 20:20:17",false,DH33,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRKENSTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SANDALS,,,
1101l2388420975,1101l338149,1100l6230,18:43:10,2025-09-20,"2025-09-20 18:43:10",,,,"AED (from USD)",,,APPENUAE80031007737266_,"Level Shoes Global",digizag11,,pending,0,128.5709,,,,1285.7099,new,1011l1045743634,254327237392,SHOES,171.4301,17.1429,pending,,,AE,"2025-09-20 20:20:17",false,DH33,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"COLORS OF CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRL,,,,,,,,,,,,,,,,,,,SANDALS,,,
1011l2388460222,1101l338149,1100l6230,17:59:43,2025-09-20,"2025-09-20 17:59:43",,,,"AED (from USD)",,,ORKSA80033007829345_,"Level Shoes Global",digizag11,,pending,0,109.9124,,,,2198.2502,existing,1011l1045743635,324927006681,SHOES,2198.2502,109.9124,pending,,,SA,"2025-09-20 20:20:17",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMINA MUADDI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,PUMPS,,,
1100l2323596987,1101l338149,1100l6230,16:30:43,2025-09-20,"2025-09-20 16:30:43",,,,"AED (from USD)",,,APPENKSA80033007815428_,"Level Shoes Global",digizag11,,pending,0,37.5311,,,,375.31,new,1011l1045738030,022127428515,ACCESSORIES,375.31,37.5311,pending,,,SA,"2025-09-20 19:20:15",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MARC JACOBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SCARVES,,,
