conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1100l2329892281,1101l338149,1100l6230,18:55:38,2025-10-04,"2025-10-04 18:55:38",,,,"AED (from USD)",,,APPORKSA80034007765068,"Level Shoes Global",digizag11,,pending,0,36.3936,,,,727.87,existing,1011l1047918576,081527317937,SHOES,727.87,36.3936,pending,,,SA,"2025-10-04 21:20:13",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOLDEN GOOSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOY,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1100l2329892256,1101l338149,1100l6230,18:03:31,2025-10-04,"2025-10-04 18:03:31",,,,"AED (from USD)",,,APPORKSA80034007887556,"Level Shoes Global",digizag11,,pending,0,67.4242,,,,674.2401,new,1101l1046916902,022127334917,ACCESSORIES,674.2401,67.4242,pending,,,SA,"2025-10-04 21:20:13",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MARC JACOBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,JEWELRY,,,
1110l72541229,1101l338149,1100l6230,12:29:16,2025-10-04,"2025-10-04 12:29:16",,,,"AED (from USD)",,,ANDORKSA80034007701026,"Level Shoes Global",digizag11,,pending,0,249.7743,,,,4995.4901,existing,1110l27378733,813653845,SHOES,3830.8901,191.5444,pending,,,SA,"2025-10-04 14:20:24",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BOTTEGA VENETA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,SANDALS,,,
1110l72541229,1101l338149,1100l6230,12:29:16,2025-10-04,"2025-10-04 12:29:16",,,,"AED (from USD)",,,ANDORKSA80034007701026,"Level Shoes Global",digizag11,,pending,0,249.7743,,,,4995.4901,existing,1110l27378734,005227177829,SHOES,1164.5999,58.2299,pending,,,SA,"2025-10-04 14:20:24",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BURBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"SLIDES & FLIP FLOPS",,,
1011l2394912922,1101l338149,1100l6230,12:11:32,2025-10-04,"2025-10-04 12:11:32",,,,"AED (from USD)",,,APPORKSA80034007577517,"Level Shoes Global",digizag11,,pending,0,26.8166,,,,536.33,existing,1100l1044604612,541627373371,ACCESSORIES,237.5201,11.8759,pending,,,SA,"2025-10-04 14:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LE SPECS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SUNGLASSES,,,
1011l2394912922,1101l338149,1100l6230,12:11:32,2025-10-04,"2025-10-04 12:11:32",,,,"AED (from USD)",,,APPORKSA80034007577517,"Level Shoes Global",digizag11,,pending,0,26.8166,,,,536.33,existing,1100l1044604613,054827295648,SHOES,298.8099,14.9407,pending,,,SA,"2025-10-04 14:20:12",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCHUTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,
1011l2394901243,1101l338149,1100l6230,11:23:51,2025-10-04,"2025-10-04 11:23:51",,,,"AED (from USD)",,,APPENKSA80033007900570,"Level Shoes Global",digizag11,,pending,0,26.8166,,,,536.33,existing,1100l1044599202,054527378249,SHOES,536.33,26.8166,pending,,,SA,"2025-10-04 13:20:23",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAM EDELMAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,PUMPS,,,
1110l72526436,1101l338149,1100l6230,10:53:38,2025-10-04,"2025-10-04 10:53:38",,,,"AED (from USD)",,,APPORKSA80034007898586,"Level Shoes Global",digizag11,,pending,0,19.154,,,,383.0799,existing,1110l27373513,095927271415,SHOES,383.0799,19.154,pending,,,SA,"2025-10-04 13:20:08",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1110l72526301,1101l338149,1100l6230,10:41:12,2025-10-04,"2025-10-04 10:41:12",,,,"AED (from USD)",,,APPORKSA80034007552889,"Level Shoes Global",digizag11,,pending,0,17.2389,,,,344.7801,existing,1110l27373512,052427305829,SHOES,344.7801,17.2389,pending,,,SA,"2025-10-04 13:20:08",false,DH40,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,SNEAKERS,,,
1101l2393566514,1101l338149,1100l6230,10:12:15,2025-10-04,"2025-10-04 10:12:15",,,,"AED (from USD)",,,APPENKSA80033007900343,"Level Shoes Global",digizag11,,pending,0,126.4192,,,,1264.19,new,1100l1044594239,045126670162,SHOES,1264.19,126.4192,pending,,,SA,"2025-10-04 12:20:23",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAGNANNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,LOAFERS,,,
